NAME,GEOIDFQ,YEAR,FuelType,value
15-County Region,M010000US001,2000,count_Biofuel,0.0
15-County Region,M010000US001,2001,count_Biofuel,0.0
15-County Region,M010000US001,2002,count_Biofuel,0
15-County Region,M010000US001,2003,count_Biofuel,0
15-County Region,M010000US001,2004,count_Biofuel,0.0
15-County Region,M010000US001,2005,count_Biofuel,0.0
15-County Region,M010000US001,2006,count_Biofuel,0.0
15-County Region,M010000US001,2007,count_Biofuel,0.0
15-County Region,M010000US001,2008,count_Biofuel,0.0
15-County Region,M010000US001,2009,count_Biofuel,0.0
15-County Region,M010000US001,2010,count_Biofuel,0.0
15-County Region,M010000US001,2011,count_Biofuel,0.0
15-County Region,M010000US001,2012,count_Biofuel,0.0
15-County Region,M010000US001,2013,count_Biofuel,1.0
15-County Region,M010000US001,2014,count_Biofuel,0.0
15-County Region,M010000US001,2015,count_Biofuel,0.0
15-County Region,M010000US001,2016,count_Biofuel,0.0
15-County Region,M010000US001,2017,count_Biofuel,0.0
15-County Region,M010000US001,2018,count_Biofuel,0.0
15-County Region,M010000US001,2019,count_Biofuel,0.0
15-County Region,M010000US001,2020,count_Biofuel,0.0
15-County Region,M010000US001,2021,count_Biofuel,0.0
15-County Region,M010000US001,2022,count_Biofuel,0.0
15-County Region,M010000US001,2023,count_Biofuel,0.0
15-County Region,M010000US001,2024,count_Biofuel,0.0
15-County Region,M010000US001,2000,count_Energy Storage,0.0
15-County Region,M010000US001,2001,count_Energy Storage,0.0
15-County Region,M010000US001,2002,count_Energy Storage,0
15-County Region,M010000US001,2003,count_Energy Storage,0
15-County Region,M010000US001,2004,count_Energy Storage,0.0
15-County Region,M010000US001,2005,count_Energy Storage,0.0
15-County Region,M010000US001,2006,count_Energy Storage,0.0
15-County Region,M010000US001,2007,count_Energy Storage,0.0
15-County Region,M010000US001,2008,count_Energy Storage,0.0
15-County Region,M010000US001,2009,count_Energy Storage,0.0
15-County Region,M010000US001,2010,count_Energy Storage,0.0
15-County Region,M010000US001,2011,count_Energy Storage,0.0
15-County Region,M010000US001,2012,count_Energy Storage,0.0
15-County Region,M010000US001,2013,count_Energy Storage,1.0
15-County Region,M010000US001,2014,count_Energy Storage,0.0
15-County Region,M010000US001,2015,count_Energy Storage,0.0
15-County Region,M010000US001,2016,count_Energy Storage,0.0
15-County Region,M010000US001,2017,count_Energy Storage,1.0
15-County Region,M010000US001,2018,count_Energy Storage,0.0
15-County Region,M010000US001,2019,count_Energy Storage,1.0
15-County Region,M010000US001,2020,count_Energy Storage,6.0
15-County Region,M010000US001,2021,count_Energy Storage,11.0
15-County Region,M010000US001,2022,count_Energy Storage,31.0
15-County Region,M010000US001,2023,count_Energy Storage,79.0
15-County Region,M010000US001,2024,count_Energy Storage,20.0
15-County Region,M010000US001,2000,count_Natural Gas/Propane,0.0
15-County Region,M010000US001,2001,count_Natural Gas/Propane,0.0
15-County Region,M010000US001,2002,count_Natural Gas/Propane,0
15-County Region,M010000US001,2003,count_Natural Gas/Propane,0
15-County Region,M010000US001,2004,count_Natural Gas/Propane,0.0
15-County Region,M010000US001,2005,count_Natural Gas/Propane,0.0
15-County Region,M010000US001,2006,count_Natural Gas/Propane,0.0
15-County Region,M010000US001,2007,count_Natural Gas/Propane,0.0
15-County Region,M010000US001,2008,count_Natural Gas/Propane,0.0
15-County Region,M010000US001,2009,count_Natural Gas/Propane,0.0
